col1	col2	col3	col4	col5	col6
86528	書体やレイアウトなどを確認するた	呼ばれることがあります	ダミーテキストです	この組見本は自由に複製	なお
84638	文章に特に深い意味はありませ	ウェブページ	ダミーテキストです	あり	文章の代わりに入れて使うダミーテキストで
63769	これは正式な文章の代わりに入	する	ダミーテキストです	この組見本は自由に複製	なお
76746	代わり	呼ばれることがあります	ダミーテキストです	確認するために用います	呼ばれることがあります
33364	主に書籍やウェブページ	呼ばれることがあります	書体	ダミー文書	なお
29295	「組」とは文字組	呼ばれることがあります	ダミーテキストです	カタカナ語が	ダミー
12582	自由に改変	呼ばれることがあります	ダミーテキストです	書体やレイアウト	なお
12583	自由に改変	呼ばれることがあります	ダミーテキストです	書体やレイアウト	なお
83443	デザイン	呼ばれることがあります	思い	この組見本は自由に複製	なお
58544	複製	呼ばれることがあります	見本	この組見本は自由に複製	活字印刷時代の用語だったと思います
